run_id,run1,run2,run3,run4,runtime
14-False-5-1-mae-adam-1,1.818761942,1.803571758,1.462049779,2.097320509,14.7436
14-False-5-1-mae-adam-10,3.472642442,2.38149005,1.691594246,2.444680174,23.55608225
14-False-5-1-mae-sgd-1,1.755724053,1.795501492,1.581800688,2.177735991,70.64824605
14-False-5-1-mae-sgd-10,2.670311091,2.068152148,2.03413884,2.508563839,31.67611027
14-False-5-10-mae-adam-1,1.127767032,0.967517851,1.070944909,1.317544963,531.1498802
14-False-5-10-mae-adam-10,1.359349512,1.413039801,1.478502519,1.925539187,87.27631211
14-False-5-10-mae-sgd-1,1.138508732,1.151696654,1.165491424,1.457280681,564.5660107
14-False-5-10-mae-sgd-10,1.515701293,1.375075455,1.514591165,1.869406044,93.81633306
14-False-5-30-mae-adam-1,0.916952465,0.839046429,1.011680707,1.169734578,1614.126257
14-False-5-30-mae-adam-10,1.176697645,1.086702277,1.196049059,1.461246625,205.5288212
14-False-5-30-mae-sgd-1,0.88830813,0.953311602,1.058736555,1.20927717,1582.626525
14-False-5-30-mae-sgd-10,1.273434386,1.067645421,1.207414306,1.482267331,215.5810933
14-False-10-1-mae-adam-1,1.589733943,1.4964817,1.546932988,2.183855497,114.7566366
14-False-10-1-mae-adam-10,2.1400563,1.748793605,1.898461029,2.119987245,72.43239522
14-False-10-1-mae-sgd-1,1.547110241,1.360713025,1.523295808,1.908170115,122.8446639
14-False-10-1-mae-sgd-10,1.89888406,2.14829024,1.644024202,2.284569672,82.41247582
14-False-10-10-mae-adam-1,1.276067586,0.891632737,1.133820922,1.2867776,607.2232997
14-False-10-10-mae-adam-10,1.377534226,1.18661801,1.28967629,1.711137964,141.188781
14-False-10-10-mae-sgd-1,1.007063641,0.942342933,1.171464985,1.18990177,631.3840261
14-False-10-10-mae-sgd-10,1.369196833,1.126745659,1.290695909,1.626011787,151.0088491
14-False-10-30-mae-adam-1,0.910236211,0.921041913,0.837337413,1.210899996,1834.298041
14-False-10-30-mae-adam-10,1.01241356,0.876123786,1.19820352,1.228893604,293.7093408
14-False-10-30-mae-sgd-1,0.98784708,0.807322372,0.887212401,1.175306235,1897.532365
14-False-10-30-mae-sgd-10,1.00148639,0.886448938,0.960427571,1.301199034,329.1294708
14-False-30-1-mae-adam-1,1.392178543,1.20629006,1.395318384,1.818085771,212.8329482
14-False-30-1-mae-adam-10,1.603476298,1.49907152,1.544051504,2.101242008,171.0327604
14-False-30-1-mae-sgd-1,1.287664071,1.154516687,1.290000786,1.646679422,229.2210166
14-False-30-1-mae-sgd-10,1.684691769,1.612458692,1.513681776,2.067637621,147.3246524
14-False-30-10-mae-adam-1,0.879960162,0.809157625,0.845594893,1.340640876,805.767554
14-False-30-10-mae-adam-10,1.081028223,0.942362779,1.113053784,1.377314476,220.65697
14-False-30-10-mae-sgd-1,0.91630839,0.958378226,0.947373282,1.096758129,824.6076562
14-False-30-10-mae-sgd-10,1.121085926,0.899506267,1.187379577,1.374704529,225.6570036
14-False-30-30-mae-adam-1,0.869421039,0.846356226,0.877895143,1.064394781,2246.661947
14-False-30-30-mae-adam-10,0.887868587,0.851310422,0.84197291,1.068966892,412.5738237
14-False-30-30-mae-sgd-1,0.902527843,0.826003978,0.845579209,1.123666929,2334.198349
14-False-30-30-mae-sgd-10,0.893806167,0.814817429,0.850243039,1.063039125,423.3218699
30-False-5-1-mae-adam-1,1.891929661,1.562956532,1.793700067,2.032415439,300.1333251
30-False-5-1-mae-adam-10,2.467816326,2.319968234,1.979951167,2.953623296,198.8688779
30-False-5-1-mae-sgd-1,1.705769209,1.690656922,1.481573319,2.12032739,320.5774145
30-False-5-1-mae-sgd-10,3.765145383,1.865459506,1.983899712,2.351520107,227.2690027
30-False-5-10-mae-adam-1,1.18925481,1.015892676,1.01061876,1.502300629,1407.574261
30-False-5-10-mae-adam-10,1.507550474,1.411898065,1.501673675,2.040181857,355.4695768
30-False-5-10-mae-sgd-1,1.15105668,0.881587716,1.228150634,1.328103501,1454.454448
30-False-5-10-mae-sgd-10,1.437874018,1.592001827,1.40340466,1.982434489,357.4735839
30-False-5-30-mae-adam-1,0.971020943,0.833635351,0.992464871,1.081127175,4057.826104
30-False-5-30-mae-adam-10,1.164350775,1.123646171,1.203800432,1.473009952,623.1347885
30-False-5-30-mae-sgd-1,0.923817722,0.927304362,0.979785676,1.006806638,4015.189805
30-False-5-30-mae-sgd-10,1.20976311,1.064718453,1.139141362,1.533601074,632.3827813
30-False-10-1-mae-adam-1,1.647517873,1.401009626,1.488802913,1.91064957,786.7754631
30-False-10-1-mae-adam-10,1.990304421,1.618411154,1.840009256,2.399660447,269.3891859
30-False-10-1-mae-sgd-1,1.829010823,1.328713139,1.423040519,1.866923311,375.55762
30-False-10-1-mae-sgd-10,2.536207876,2.14198827,1.793297227,2.18238914,262.0251315
30-False-10-10-mae-adam-1,0.999761247,0.885959294,1.146517515,1.051324983,1593.92689
30-False-10-10-mae-adam-10,1.309169405,1.196309404,1.383986907,1.70142847,411.2737234
30-False-10-10-mae-sgd-1,1.009415527,1.026849186,1.043182239,1.154633625,1599.050733
30-False-10-10-mae-sgd-10,1.328594619,1.110371737,1.309563585,1.588543038,416.0617688
30-False-10-30-mae-adam-1,0.886295137,0.899922623,0.905593156,1.325954149,4436.102677
30-False-10-30-mae-adam-10,1.026023632,0.896736972,1.161299807,1.147201713,762.6752439
30-False-10-30-mae-sgd-1,0.906038568,0.944631393,1.233893011,1.233390166,4430.350789
30-False-10-30-mae-sgd-10,0.989813077,0.92386177,1.001392822,1.239060399,773.2752883
30-False-30-1-mae-adam-1,1.293989161,1.151907504,1.326123446,1.468130097,506.1741383
30-False-30-1-mae-adam-10,1.687967697,1.508637688,1.497159354,2.156877019,1997.792363
30-False-30-1-mae-sgd-1,1.374985483,1.514329978,1.258013674,1.655943009,446.3538132
30-False-30-1-mae-sgd-10,1.503067987,1.405446753,1.579490125,2.076527274,322.8852451
30-False-30-10-mae-adam-1,0.929447718,0.85805442,0.866149246,1.031174611,1841.651172
30-False-30-10-mae-adam-10,1.074848032,0.932923607,1.071502915,1.280812104,499.1099753
30-False-30-10-mae-sgd-1,1.012019795,0.81476715,0.954451897,1.000325174,1799.574985
30-False-30-10-mae-sgd-10,1.058090788,0.939493235,1.047257705,1.315532697,550.0941498
30-False-30-30-mae-adam-1,0.862909257,0.833297124,0.853080262,1.109917921,4708.246545
30-False-30-30-mae-adam-10,0.873880146,0.865794986,0.884220991,1.018956739,797.7032349
30-False-30-30-mae-sgd-1,0.834298966,0.827394263,0.832729405,1.03608164,4849.072045
30-False-30-30-mae-sgd-10,0.848881836,0.890062246,0.841627893,1.069763398,918.2758119
60-False-5-1-mae-adam-1,1.554697721,1.764906645,1.661312962,1.968104326,583.2264376
60-False-5-1-mae-adam-10,2.152067656,3.034721824,2.291772201,2.772541927,383.5696025
60-False-5-1-mae-sgd-1,1.593182742,1.773795941,1.596541676,1.884021006,634.6626401
60-False-5-1-mae-sgd-10,3.750087707,2.848321878,1.911556884,2.703926578,398.2816501
60-False-5-10-mae-adam-1,0.966627632,1.028882141,1.120192368,1.305958923,16388.32375
60-False-5-10-mae-adam-10,1.236859554,1.300762614,1.443565077,1.89924195,687.6825066
60-False-5-10-mae-sgd-1,1.017483492,0.957347434,1.151818666,1.434258673,3136.309901
60-False-5-10-mae-sgd-10,1.40002503,1.240741463,1.539297292,1.892630574,665.8228171
60-False-5-30-mae-adam-1,0.83402918,0.948127117,1.123648663,1.067380918,8377.296577
60-False-5-30-mae-adam-10,1.063371813,1.090860268,1.318073184,1.403659816,1184.681284
60-False-5-30-mae-sgd-1,0.874036555,0.86439781,0.875382225,1.038762741,8720.262772
60-False-5-30-mae-sgd-10,1.025821431,1.064247858,1.208090723,1.484371155,1332.882037
60-False-10-1-mae-adam-1,1.472935265,1.492436959,1.5038367,2.04985118,704.3552046
60-False-10-1-mae-adam-10,1.771380914,2.263428437,1.820816613,2.352833105,478.5061703
60-False-10-1-mae-sgd-1,1.686602964,1.513192364,1.678634989,1.943902012,748.5713322
60-False-10-1-mae-sgd-10,2.010770195,2.002331402,1.591555649,2.269000305,578.0385649
